word|start_time|end_time|duration|pause_before|pause_after|pos|punctuation_before|punctuation_after|speech_rate_phon|f0_mean|i0_mean|f0_slope|i0_slope|f0_sd|i0_sd|f0_range|i0_range|f0_contour_xaxis|f0_contour|i0_contour_xaxis|i0_contour
andover|7.01|7.27|0.0|0.07|0.0|NN|||-1|-6.1321|6.2577|-8.588|204.016|0.3985|6.082|2.0226|20.983|[5.0, 8.0, 10.0, 12.0, 15.0, 17.0, 19.0, 22.0, 24.0, 26.0, 29.0, 31.0, 33.0, 36.0, 38.0, 40.0, 43.0, 45.0, 47.0, 50.0, 52.0, 54.0, 56.0, 59.0, 61.0, 63.0, 66.0, 68.0, 70.0, 73.0, 75.0, 77.0, 80.0, 82.0, 84.0, 87.0, 89.0, 91.0, 94.0]|[186.491, 184.805, 184.403, 183.264, 186.614, 190.04, 190.056, 189.234, 187.555, 186.835, 184.874, 178.406, 172.655, 182.265, 191.874, 191.626, 191.267, 189.344, 188.046, 188.155, 187.429, 186.174, 185.321, 182.882, 177.594, 183.268, 188.941, 194.052, 188.068, 185.72, 184.791, 187.387, 188.686, 191.282, 190.979, 188.156, 185.112, 182.684, 181.9]|[]|[]
massachusetts|7.27|8.16|0.0|0.0|0.0|NN|,||-1|-5.2077|-1.1778|-93.918|78.9918|1.8788|7.3922|6.3389|33.758|[1.0, 2.0, 3.0, 4.0, 4.0, 5.0, 6.0, 7.0, 7.0, 8.0, 9.0, 10.0, 10.0, 11.0, 12.0, 13.0, 13.0, 14.0, 15.0, 16.0, 16.0, 17.0, 18.0, 19.0, 20.0, 20.0, 21.0, 22.0, 23.0, 23.0, 24.0, 25.0, 26.0, 26.0, 27.0, 28.0, 29.0, 29.0, 30.0, 31.0, 32.0, 32.0, 33.0, 34.0, 35.0, 35.0, 36.0, 37.0, 38.0, 38.0, 39.0, 40.0, 41.0, 42.0, 42.0, 43.0, 44.0, 45.0, 45.0, 46.0, 47.0, 48.0, 48.0, 49.0, 50.0, 51.0, 51.0, 52.0, 53.0, 54.0, 54.0, 55.0, 56.0, 57.0, 57.0, 58.0, 59.0, 60.0, 61.0, 61.0]|[179.555, 177.581, 175.24, 174.596, 173.426, 173.39, 171.9, 170.561, 167.444, 165.708, 167.547, 168.082, 168.507, 170.117, 175.749, 174.201, 173.014, 171.665, 173.715, 174.74, 175.765, 176.79, 177.814, 178.839, 179.864, 180.889, 181.914, 182.939, 183.964, 184.989, 186.014, 187.038, 188.063, 189.088, 190.113, 191.138, 192.163, 193.188, 194.213, 195.238, 196.263, 197.287, 198.312, 199.337, 200.362, 201.387, 202.412, 203.437, 204.462, 205.487, 206.511, 207.536, 208.561, 209.586, 210.611, 211.636, 212.661, 213.686, 214.711, 215.736, 216.76, 217.785, 218.81, 219.835, 220.86, 221.885, 222.91, 223.935, 224.96, 225.984, 227.009, 228.034, 229.059, 230.084, 231.109, 232.134, 234.184, 238.938, 238.98, 234.972]|[]|[]
after|9.73|9.92|0.0|1.57|0.0|IN|.||-1|-3.8027|-2.039|-82.3277|244.9451|0.4828|9.4145|2.0364|30.0197|[5.0, 8.0, 11.0, 14.0, 17.0, 20.0, 23.0, 25.0, 28.0, 31.0, 34.0, 37.0, 40.0, 42.0, 45.0, 48.0, 51.0, 54.0, 57.0, 59.0, 62.0, 65.0, 68.0, 71.0, 74.0, 76.0, 79.0, 82.0, 85.0, 88.0, 91.0, 94.0]|[211.302, 205.526, 206.777, 207.411, 209.824, 207.711, 207.744, 204.873, 199.893, 206.737, 208.652, 209.131, 210.694, 211.476, 212.257, 213.039, 213.82, 214.602, 215.383, 216.165, 216.946, 217.728, 218.509, 219.291, 220.072, 220.854, 221.635, 223.198, 224.844, 216.763, 215.537, 215.029]|[]|[]
that|9.92|10.06|0.0|0.0|0.0|DT|||-1|-2.6178|11.9563|-271.1149|-368.9024|0.9071|1.9321|2.8227|6.5882|[7.0, 11.0, 14.0, 18.0, 21.0, 25.0, 28.0, 32.0, 35.0, 39.0, 42.0, 46.0, 50.0, 53.0, 57.0, 60.0, 64.0, 67.0, 71.0, 74.0, 78.0, 81.0, 85.0]|[208.001, 209.572, 212.574, 215.697, 218.42, 219.089, 218.865, 221.726, 222.146, 225.714, 225.982, 227.836, 232.017, 229.916, 233.73, 237.177, 237.92, 240.523, 242.153, 243.62, 244.836, 244.808, 244.347]|[]|[]
i|10.06|10.14|0.0|0.0|0.0|VBZ|||-1|-1.2975|13.0738|247.4848|-140.966|0.4676|0.2598|1.4931|0.7099|[13.0, 18.0, 24.0, 30.0, 35.0, 41.0, 47.0, 52.0, 58.0, 64.0, 69.0, 75.0, 81.0, 86.0]|[256.246, 254.532, 253.373, 252.19, 250.404, 249.28, 247.296, 245.784, 244.847, 243.576, 240.472, 239.146, 237.705, 235.072]|[]|[]
actually|10.14|10.42|0.0|0.0|0.0|RB|||-1|-4.0761|2.6782|62.5828|230.3779|0.6208|6.3555|3.5447|19.2484|[4.0, 6.0, 8.0, 10.0, 12.0, 13.0, 15.0, 17.0, 19.0, 21.0, 23.0, 25.0, 27.0, 29.0, 31.0, 32.0, 34.0, 36.0, 38.0, 40.0, 42.0, 44.0, 46.0, 48.0, 49.0, 51.0, 53.0, 55.0, 57.0, 59.0, 61.0, 63.0, 65.0, 67.0, 68.0, 70.0, 72.0, 74.0, 76.0, 78.0, 80.0, 82.0, 84.0, 86.0, 87.0, 89.0, 91.0, 93.0, 95.0]|[224.787, 222.963, 221.943, 219.325, 215.221, 215.22, 213.651, 212.247, 213.211, 213.307, 211.788, 213.399, 211.899, 209.228, 210.266, 211.668, 213.196, 213.054, 212.677, 212.488, 212.299, 212.111, 211.922, 211.733, 211.545, 211.356, 211.167, 210.979, 210.79, 210.601, 210.413, 210.224, 210.035, 209.847, 209.658, 209.469, 209.281, 209.092, 208.903, 208.526, 208.407, 206.545, 205.15, 202.418, 198.315, 199.358, 191.289, 190.988, 183.168]|[]|[]
studied|10.48|10.72|0.0|0.06|0.0|VBN|||-1|-6.1612|5.7798|103.2247|586.1526|0.7657|6.86|3.5112|23.5693|[20.0, 23.0, 25.0, 28.0, 30.0, 33.0, 35.0, 38.0, 41.0, 43.0, 46.0, 48.0, 51.0, 53.0, 56.0, 58.0, 61.0, 64.0, 66.0, 69.0, 71.0, 74.0, 76.0, 79.0]|[209.949, 201.885, 199.119, 196.073, 188.377, 188.46, 186.869, 185.318, 181.697, 171.409, 178.627, 176.203, 180.664, 181.044, 185.754, 186.849, 187.133, 186.367, 185.705, 184.169, 182.618, 182.074, 181.425, 180.578]|[]|[]
for|10.72|10.85|0.0|0.0|0.0|IN|||-1|0.0|2.2303|0.0|-3453.2857|0.0|8.5947|0.0|20.2764|[]|[]|[]|[]
summer|10.9|11.12|0.0|0.05|0.0|NN|||-1|-7.0159|6.4354|86.9218|25.5264|0.4728|2.2253|1.41|11.3926|[20.0, 23.0, 26.0, 29.0, 32.0, 35.0, 38.0, 41.0, 44.0, 47.0, 50.0, 52.0, 55.0, 58.0, 61.0, 64.0, 67.0, 70.0, 73.0, 76.0, 79.0, 82.0, 85.0, 88.0, 91.0, 94.0]|[184.863, 185.446, 182.026, 181.676, 181.566, 179.793, 175.262, 179.454, 180.24, 182.47, 182.241, 180.87, 179.263, 178.253, 176.977, 176.607, 173.427, 171.395, 170.968, 171.056, 170.941, 171.445, 172.334, 171.748, 172.278, 172.218]|[]|[]
in|11.14|11.23|0.0|0.02|0.0|IN|||-1|-7.5702|3.6142|-78.5826|18.1985|0.1571|0.0845|0.5049|0.2126|[16.0, 24.0, 31.0, 38.0, 46.0, 53.0, 61.0, 68.0, 75.0, 83.0]|[168.627, 170.707, 170.142, 170.018, 172.006, 172.716, 172.141, 173.618, 172.939, 171.81]|[]|[]
